start	end	model_name	model_accession	E_value	score	description of target	genbank_accession
715408	716758	Sa2603_summary_39.txt	-	2.9e-15	48.8	-	NZ_LS483334.1_715408
716800	717472	SPAP_0891.txt	-	9.7e-85	278.4	-	GCF_900474925.1.gbff.1.gbk_GCF
722547	723819	SPAP_0900.txt	-	3.6e-192	633.7	-	NZ_LS483334.1_722547
727830	728661	T2SSE	PF00437.16	2.9e-07	21.9	Type	GCF_900474925.1.gbff.1.gbk_GCF
755171	755912	AAA_10	PF12846.2	1.7e-07	23.1	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
790796	791426	AAA_10	PF12846.2	1.9e-06	19.7	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
796996	799315	PAPI_1_orf83.txt	-	6.7e-09	29.4	-	GCF_900474925.1.gbff.1.gbk_GCF
803670	804372	AAA_10	PF12846.2	1.1e-06	20.5	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
808774	810115	ICEA5632_orf8.txt	-	6.7e-31	102.2	-	GCF_900474925.1.gbff.1.gbk_GCF
818553	819312	AAA_10	PF12846.2	5.5e-06	18.2	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
829631	831164	AAA_10	PF12846.2	1.3e-06	20.2	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
850986	852531	FtsK_SpoIIIE	PF01580.13	3.1e-07	22.4	FtsK/SpoIIIE	GCF_900474925.1.gbff.1.gbk_GCF
880331	882461	SPAP_0887.txt	-	5.3e-27	88.9	-	GCF_900474925.1.gbff.1.gbk_GCF
895160	896888	AAA_10	PF12846.2	4.6e-06	18.4	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
898618	899218	Tn916.orf14.protein.9	-	2.6e-26	87	-	GCF_900474925.1.gbff.1.gbk_GCF
911341	912070	Pfam-B_3022	PB003022	3.3e-07	21.3	-	GCF_900474925.1.gbff.1.gbk_GCF
1000090	1001998	T2SSE	PF00437.16	5e-06	17.9	Type	GCF_900474925.1.gbff.1.gbk_GCF
1005182	1005941	AAA_10	PF12846.2	8.8e-07	20.8	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1098321	1100421	AAA_10	PF12846.2	7e-06	17.8	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1145319	1146030	AAA_10	PF12846.2	3.7e-07	22	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1193192	1195007	CTnDOT_ERL_orf18.txt	-	7.4e-09	29.7	-	GCF_900474925.1.gbff.1.gbk_GCF
1196895	1200564	SPI_7_orf140.txt	-	3e-06	20.5	-	GCF_900474925.1.gbff.1.gbk_GCF
1230493	1231417	AAA_10	PF12846.2	7e-08	24.4	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1423425	1424928	AAA_10	PF12846.2	8.8e-22	70.1	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1433213	1435367	T2SSE	PF00437.16	8.7e-06	17.1	Type	GCF_900474925.1.gbff.1.gbk_GCF
1460776	1463182	FtsK_SpoIIIE	PF01580.13	2.7e-63	205.5	FtsK/SpoIIIE	GCF_900474925.1.gbff.1.gbk_GCF
1554765	1555830	AAA_10	PF12846.2	2.1e-09	29.4	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1628862	1629246	TraF	PF13728.2	2.2e-06	19.7	F	GCF_900474925.1.gbff.1.gbk_GCF
1679624	1680686	traP_typeI	-	7.5e-07	21.1	-	GCF_900474925.1.gbff.1.gbk_GCF
1683481	1685107	ICESt1_orf31.txt	-	1.2e-130	430.6	-	GCF_900474925.1.gbff.1.gbk_GCF
1688570	1689245	AAA_10	PF12846.2	7e-06	17.8	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1720257	1722702	AAA_10	PF12846.2	5.1e-06	18.3	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
1765034	1765631	ICEF_III_orf13.txt	-	9.3e-12	39.6	-	GCF_900474925.1.gbff.1.gbk_GCF
1787976	1788303	Pfam-B_6973	PB006973	2.5e-07	22.8	-	GCF_900474925.1.gbff.1.gbk_GCF
1822928	1823282	Tn5801_SAV0397.txt	-	8.9e-75	243.1	-	GCF_900474925.1.gbff.1.gbk_GCF
1825923	1826856	Tn916.orf13.protein.11	-	1.6e-217	715.3	-	GCF_900474925.1.gbff.1.gbk_GCF
1826852	1827854	Tn916.orf14.protein.9	-	1.1e-236	778.6	-	GCF_900474925.1.gbff.1.gbk_GCF
1827850	1830028	Tn916.orf15.protein.17	-	0	1701	-	GCF_900474925.1.gbff.1.gbk_GCF
1830030	1832478	Tn916.orf16.protein.14	-	0	1945.9	-	GCF_900474925.1.gbff.1.gbk_GCF
1832461	1832854	Tn916.orf17.protein.9	-	2e-93	304.4	-	GCF_900474925.1.gbff.1.gbk_GCF
1832942	1833440	Tn916.orf18.protein.6	-	6.2e-116	378.9	-	GCF_900474925.1.gbff.1.gbk_GCF
1833556	1833778	Tn916.orf19.protein.1	-	4.8e-51	165.7	-	GCF_900474925.1.gbff.1.gbk_GCF
1833820	1835026	Tn916.orf20.protein.14	-	6.7e-291	958.5	-	GCF_900474925.1.gbff.1.gbk_GCF
1835203	1836589	Tn916.orf21.protein.6	-	0	1077.1	-	GCF_900474925.1.gbff.1.gbk_GCF
1836617	1837004	Tn916.orf22.protein.6	-	3.1e-89	290.6	-	GCF_900474925.1.gbff.1.gbk_GCF
1837019	1837334	Tn916.orf23.protein.6	-	2.1e-72	234.7	-	GCF_900474925.1.gbff.1.gbk_GCF
